v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,L1,L2,L3,L4,L5,,P1,P2,P3,P4,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,,A,B,C,D,E,F,G
21,2,7,8,14,6,12,11,1,5,16,19,10,4,9,15,17,13,3,18,20,7,8.16666666666667,8.66666666666667,8.5,7.83333333333333,,2,1,1,2,,7,,8,9,8,10,8,6,7,9,6,8,6,9,10,9,6,9,8,9,8,9,6,6,8,9,7,7,10,8,9,9,,2,2,2,4,6,7,5,6,6,2,2,2,7,7,6,7,4.5625,5,5,7,8,7,7,6,6,6,7,6,6,,4,3,4,4,3,4,4,4,4,4,4,4,4,4,2,3,2,4,1,4,3,4,4,4,3,4,4,4,3,3,3,3,3,3,4,3,3,3,5,,3,2,3,2,1,1,7
9,17,19,7,5,3,13,20,1,16,4,11,8,14,12,2,10,5,21,6,18,6.5,6.33333333333333,7.83333333333333,7.5,6.33333333333333,,1,2,2,1,,13,,8,8,10,7,5,7,6,9,5,7,6,6,10,8,6,4,6,6,7,5,7,6,6,10,5,7,6,6,8,10,,5,6,6,7,5,5,4,5,4,7,7,7,5,5,5,6,5.5625,7,8,8,8,8,8,8,8,8,6,7,5,,4,4,5,5,5,5,3,4,3,4,5,5,5,5,4,4,4,4,4,3,5,4,4,4,4,3,4,5,5,5,4,5,5,5,4,4,4,5,5,,3,2,3,2,2,3,3
5,8,16,3,4,10,6,12,1,14,20,9,17,13,2,7,15,11,18,19,21,8.66666666666667,8.16666666666667,9,8.66666666666667,8.66666666666667,,2,1,1,1,,3,,10,9,9,8,9,10,8,10,9,9,9,8,10,9,8,7,8,8,8,9,8,8,9,9,8,8,8,8,9,9,,6,7,6,6,3,5,3,3,5,6,5,5,5,6,7,5,5.1875,7,7,7,8,8,8,6,8,8,6,7,8,,3,3,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,5,4,4,4,4,4,5,5,4,4,5,5,4,5,5,4,4,4,4,4,4,5,,4,1,4,2,2,3,1
16,15,2,5,18,12,9,19,21,1,6,10,13,20,3,4,8,11,14,7,17,5.83333333333333,7.5,8,6.66666666666667,8,,2,2,1,1,,2,,5,9,8,6,8,9,8,8,7,7,4,7,7,8,8,4,8,8,7,8,7,7,8,7,9,6,6,9,5,8,,5,5,6,5,6,7,6,6,6,7,5,5,5,5,6,6,5.6875,6,8,6,5,5,7,7,6,7,6,5,5,,4,4,5,4,4,5,4,3,4,4,5,5,5,5,4,4,4,3,4,5,5,4,3,4,4,4,3,5,4,3,5,5,3,4,4,3,4,4,4,,3,1,4,2,2,2,4
7,13,16,12,14,18,5,8,19,3,6,1,20,9,4,10,17,11,15,2,21,7,7.5,7.66666666666667,6.5,5.66666666666667,,2,2,1,1,,2,,8,5,4,5,6,7,9,10,5,7,6,8,10,9,6,8,7,6,4,3,6,8,10,7,4,7,8,6,9,8,,4,4,5,6,5,2,5,4,7,6,5,5,5,6,6,3,4.875,7,5,6,7,5,7,8,6,8,6,5,3,,4,3,5,4,5,4,4,3,4,5,4,5,5,5,4,4,4,4,4,3,4,5,4,4,5,4,4,5,4,4,3,4,5,4,2,2,4,4,4,,,,,,,,
8,17,16,12,14,5,4,6,3,9,19,1,7,10,2,20,13,18,11,15,21,6.16666666666667,6.16666666666667,7.16666666666667,6.5,7.16666666666667,,2,2,2,1,,1,,7,7,8,3,7,4,8,6,7,7,5,4,9,8,7,7,6,7,7,7,7,6,6,7,6,7,6,7,7,9,,6,6,5,5,4,5,5,5,6,6,7,6,7,6,7,6,5.75,7,7,6,6,7,7,6,6,6,7,7,6,,5,5,5,4,4,4,5,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,1,4,4,3,2,4
18,19,8,7,16,4,12,5,17,1,9,11,14,13,6,2,10,21,3,15,20,7.33333333333333,8.16666666666667,8.66666666666667,8.16666666666667,8.83333333333333,,2,1,1,2,,7,,6,7,9,6,9,7,9,9,8,7,9,7,10,9,10,8,9,6,8,9,6,9,9,9,8,8,8,9,9,10,,6,7,6,7,5,6,7,7,6,6,6,6,7,6,7,6,6.3125,8,8,8,7,7,7,6,7,8,7,7,8,,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,,3,2,3,1,0,1,7
13,19,20,8,14,9,3,5,2,12,18,1,11,16,7,4,6,17,10,15,21,5.5,6.33333333333333,8.33333333333333,7.5,7.33333333333333,,1,2,2,2,,9,,6,8,7,6,6,5,6,9,9,10,5,6,10,8,6,4,5,9,7,6,5,6,9,8,6,8,7,6,7,10,,5,5,4,6,6,5,5,6,3,6,5,6,3,5,5,5,5,6,7,7,6,5,8,7,6,8,7,7,6,,4,4,5,4,4,4,4,5,5,4,5,5,4,4,5,4,4,4,3,4,4,4,4,5,5,4,5,5,4,4,4,4,4,5,3,3,4,5,5,,3,1,3,1,2,2,7
20,11,7,21,4,9,10,13,5,2,17,3,6,15,1,12,19,16,8,18,14,6.83333333333333,6.66666666666667,7.66666666666667,7.16666666666667,6.83333333333333,,,,,,,,,8,8,5,7,8,7,4,8,8,7,3,5,10,8,6,8,7,9,7,6,6,7,7,6,6,9,9,7,7,8,,6,6,6,5,4,4,5,5,5,5,5,5,5,5,2,5,4.875,5,6,6,8,5,7,6,5,6,6,6,2,,5,3,4,4,4,4,2,4,4,5,4,5,3,2,3,5,4,4,5,3,5,5,5,2,3,3,3,4,2,3,4,3,5,5,5,3,4,4,4,,3,1,3,3,1,1,7
8,16,12,14,18,4,7,5,10,17,9,19,11,6,13,1,2,3,20,15,21,6.5,6.5,7.66666666666667,8.5,9.16666666666667,,2,2,1,1,,2,,6,6,9,6,9,6,6,9,9,8,7,4,10,9,9,7,7,3,8,9,6,8,7,10,10,7,8,8,9,10,,6,7,7,6,5,5,5,4,6,6,6,6,5,5,5,5,5.5625,7,5,7,7,5,7,6,5,6,7,7,6,,5,4,4,4,3,4,4,5,4,3,4,5,4,3,4,5,4,4,4,5,5,5,5,3,5,5,4,5,4,5,5,5,5,5,5,4,5,5,5,,5,2,4,1,4,3,7
